
Population: All

 Time   Susceptible      Infected     Recovered
-----------------------------------------------
 0.00      0.986832      0.012938      0.000230
 0.10      0.982746      0.016726      0.000528
 0.20      0.977486      0.021601      0.000912
 0.30      0.970730      0.027861      0.001409
 0.40      0.962075      0.035875      0.002050
 0.50      0.951030      0.046095      0.002875
 0.60      0.937002      0.059063      0.003935
 0.70      0.919293      0.075413      0.005294
 0.80      0.897108      0.095864      0.007028
 0.90      0.869588      0.121179      0.009233
 1.00      0.835868      0.152112      0.012020
 1.10      0.795181      0.189300      0.015519
 1.20      0.747013      0.233115      0.019873
 1.30      0.691288      0.283478      0.025234
 1.40      0.628579      0.339667      0.031754
 1.50      0.560257      0.400177      0.039567
 1.60      0.488512      0.462717      0.048771
 1.70      0.416178      0.524408      0.059413
 1.80      0.346339      0.582186      0.071475
 1.90      0.281816      0.633319      0.084865
 2.00      0.224703      0.675866      0.099431
 2.10      0.176105      0.708919      0.114976
 2.20      0.136155      0.732564      0.131281
 2.30      0.104237      0.747633      0.148130
 2.40      0.079299      0.755375      0.165326
 2.50      0.060131      0.757170      0.182699
 2.60      0.045562      0.754324      0.200114
 2.70      0.034564      0.747972      0.217464
 2.80      0.026291      0.739042      0.234667
 2.90      0.020073      0.728262      0.251665
 3.00      0.015395      0.716190      0.268415
 3.10      0.011867      0.703246      0.284887
 3.20      0.009196      0.689741      0.301062
 3.30      0.007167      0.675907      0.316926
 3.40      0.005617      0.661911      0.332472
 3.50      0.004427      0.647877      0.347696
 3.60      0.003509      0.633894      0.362597
 3.70      0.002797      0.620026      0.377177
 3.80      0.002242      0.606320      0.391437
 3.90      0.001807      0.592810      0.405383
 4.00      0.001464      0.579518      0.419017
 4.10      0.001193      0.566461      0.432346
 4.20      0.000977      0.553649      0.445375
 4.30      0.000804      0.541088      0.458109
 4.40      0.000664      0.528782      0.470554
 4.50      0.000552      0.516732      0.482716
 4.60      0.000461      0.504939      0.494601
 4.70      0.000386      0.493400      0.506214
 4.80      0.000325      0.482112      0.517562
 4.90      0.000275      0.471074      0.528651
 5.00      0.000234      0.460281      0.539486
 5.10      0.000199      0.449729      0.550072
 5.20      0.000171      0.439414      0.560416
 5.30      0.000147      0.429331      0.570522
 5.40      0.000126      0.419477      0.580397
 5.50      0.000109      0.409846      0.590045
 5.60      0.000095      0.400434      0.599471
